Name,Currency,Active,Day Count,Fixing Calendar,Offset Days,Offset Calendar,Effective Date Calendar,Tenor,Tenor Convention,FixingTime,FixingZone
JPY-LIBOR-8M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,8M,LastBusinessDay,11:00,Europe/London
JPY-LIBOR-9M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,9M,LastBusinessDay,11:00,Europe/London
JPY-LIBOR-10M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,10M,LastBusinessDay,11:00,Europe/London
JPY-LIBOR-11M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,11M,LastBusinessDay,11:00,Europe/London
JPY-LIBOR-12M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,12M,LastBusinessDay,11:00,Europe/London
,,,,,,,,,,,,
JPY-TIBOR-JAPAN-1W,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,1W,None,11:50,Asia/Tokyo
JPY-TIBOR-JAPAN-1M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,1M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-JAPAN-2M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,2M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-JAPAN-3M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,3M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-JAPAN-6M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-JAPAN-12M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,12M,LastBusinessDay,11:50,Asia/Tokyo
,,,,,,,,,,,,
JPY-TIBOR-EUROYEN-1W,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,1W,None,11:50,Asia/Tokyo
JPY-TIBOR-EUROYEN-1M,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,1M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-EUROYEN-2M,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,2M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-EUROYEN-3M,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,3M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-EUROYEN-6M,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,11:50,Asia/Tokyo
JPY-TIBOR-EUROYEN-12M,JPY,TRUE,Act/360,JPTO,2,JPTO,JPTO,12M,LastBusinessDay,11:50,Asia/Tokyo
,,,,,,,,,,,,
CHF-LIBOR-1W,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,1W,None,11:00,Europe/London
CHF-LIBOR-2W,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,2W,None,11:00,Europe/London
CHF-LIBOR-1M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,1M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-2M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,2M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-3M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,3M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-4M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,4M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-5M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,5M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-6M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,6M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-7M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,7M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-8M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,8M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-9M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,9M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-10M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,10M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-11M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,11M,LastBusinessDay,11:00,Europe/London
CHF-LIBOR-12M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,12M,LastBusinessDay,11:00,Europe/London
,,,,,,,,,,,,
GBP-LIBOR-1W,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1W,None,11:00,Europe/London
GBP-LIBOR-2W,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,2W,None,11:00,Europe/London
GBP-LIBOR-1M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-2M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,2M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-3M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,3M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-4M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,4M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-5M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,5M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-6M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,6M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-7M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,7M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-8M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,8M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-9M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,9M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-10M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,10M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-11M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,11M,LastBusinessDay,11:00,Europe/London
GBP-LIBOR-12M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,12M,LastBusinessDay,11:00,Europe/London
,,,,,,,,,,,,
CAD-CDOR-1M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,1M,LastBusinessDay,10:15,America/Toronto
CAD-CDOR-2M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,2M,LastBusinessDay,10:15,America/Toronto
CAD-CDOR-3M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,3M,LastBusinessDay,10:15,America/Toronto
CAD-CDOR-6M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,6M,LastBusinessDay,10:15,America/Toronto
CAD-CDOR-12M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,12M,LastBusinessDay,10:15,America/Toronto
,,,,,,,,,,,,
AUD-BBSW-1M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,1M,LastBusinessDay,11:00,Australia/Sydney
AUD-BBSW-2M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,2M,LastBusinessDay,11:00,Australia/Sydney
AUD-BBSW-3M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,3M,LastBusinessDay,11:00,Australia/Sydney
AUD-BBSW-4M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,4M,LastBusinessDay,11:00,Australia/Sydney
AUD-BBSW-5M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,5M,LastBusinessDay,11:00,Australia/Sydney
AUD-BBSW-6M,AUD,TRUE,Act/365F,AUSY,1,AUSY,AUSY,6M,LastBusinessDay,11:00,Australia/Sydney
,,,,,,,,,,,,
NOK-NIBOR-1W,NOK,TRUE,Act/360,NOOS,2,NOOS,NOOS,1W,None,12:00,Europe/Oslo
NOK-NIBOR-1M,NOK,TRUE,Act/360,NOOS,2,NOOS,NOOS,1M,LastBusinessDay,12:00,Europe/Oslo
NOK-NIBOR-2M,NOK,TRUE,Act/360,NOOS,2,NOOS,NOOS,2M,LastBusinessDay,12:00,Europe/Oslo
NOK-NIBOR-3M,NOK,TRUE,Act/360,NOOS,2,NOOS,NOOS,3M,LastBusinessDay,12:00,Europe/Oslo
NOK-NIBOR-6M,NOK,TRUE,Act/360,NOOS,2,NOOS,NOOS,6M,LastBusinessDay,12:00,Europe/Oslo
